no,query,indicator_tested,filters_tested
1,"What was India's total coal production in 2023-24 in KToE? Respond in chat, not in an artifact.",Energy Balance (KToE) - Supply (indicator_code=1),"use_of_energy_balance_code=1, energy_commodities_code=1, end_use_sector_code=5, year=2023-24"
2,"Show me crude oil imports from 2012-13 to 2019-20 in PetaJoules Respond in chat, not in an artifact.",Energy Balance (PetaJoules) - Supply (indicator_code=2),"use_of_energy_balance_code=1, energy_commodities_code=2, end_use_sector_code=6, year=2012-13 to 2019-20"
3,"how much natural gas did india export last year in ktoe Respond in chat, not in an artifact.",Energy Balance (KToE) - Supply (indicator_code=1),"use_of_energy_balance_code=1, energy_commodities_code=4, end_use_sector_code=7, year=2023-24"
4,"TOTAL PRIMARY ENERGY SUPPLY FOR SOLAR WIND AND OTHERS 2020-21 Respond in chat, not in an artifact.",Energy Balance (KToE) - Supply (indicator_code=1),"use_of_energy_balance_code=1, energy_commodities_code=7, end_use_sector_code=9, year=2020-21"
5,"Diesel consumption by transport sector in petajoules for 2022-23 Respond in chat, not in an artifact.",Energy Balance (PetaJoules) - Consumption (indicator_code=2),"use_of_energy_balance_code=2, energy_commodities_code=3, energy_sub_commodities_code=4, end_use_sector_code=2, year=2022-23"
6,"LPG used in residential sector 2018-19 KToE Respond in chat, not in an artifact.",Energy Balance (KToE) - Consumption (indicator_code=1),"use_of_energy_balance_code=2, energy_commodities_code=3, energy_sub_commodities_code=1, end_use_sub_sector_code=16, year=2018-19"
7,"petrol consumption by road transport 2021-22 in petajoules Respond in chat, not in an artifact.",Energy Balance (PetaJoules) - Consumption (indicator_code=2),"use_of_energy_balance_code=2, energy_sub_commodities_code=8, end_use_sub_sector_code=10, year=2021-22"
8,"electricity consumption in iron and steel industry over all years Respond in chat, not in an artifact.",Energy Balance (KToE) - Consumption (indicator_code=1),"use_of_energy_balance_code=2, energy_commodities_code=8, end_use_sub_sector_code=1, year=all"
9,"nuclear enrgy production trend from 2015 to 2023 Respond in chat, not in an artifact.",Energy Balance (PetaJoules) - Supply (indicator_code=2),"use_of_energy_balance_code=1, energy_commodities_code=5, end_use_sector_code=5, year=2015-16 to 2023-24"
10,"What is the stock change for lignite in 2017-18? Respond in chat, not in an artifact.",Energy Balance (KToE) - Supply (indicator_code=1),"use_of_energy_balance_code=1, energy_commodities_code=9, end_use_sector_code=8, year=2017-18"
11,"kerosene consumption in agriculture sector 2016-17 petajoules Respond in chat, not in an artifact.",Energy Balance (PetaJoules) - Consumption (indicator_code=2),"use_of_energy_balance_code=2, energy_sub_commodities_code=3, end_use_sub_sector_code=18, year=2016-17"
12,"energy balance data for coal in 2005-06 Respond in chat, not in an artifact.",Energy Balance (KToE) - Supply (indicator_code=1),"use_of_energy_balance_code=1, energy_commodities_code=1, year=2005-06 (EDGE CASE - year not available)"
13,"how much hydro power was consumed by the manufacturing sector in 2020-21 Respond in chat, not in an artifact.",Energy Balance (KToE) - Consumption (indicator_code=1),"use_of_energy_balance_code=2, energy_commodities_code=6, end_use_sector_code=1 (EDGE CASE - hydro has no consumption sub-commodities)"
14,"whats india's fuel oil usage in pipeline transport for 2019-20 Respond in chat, not in an artifact.",Energy Balance (KToE) - Consumption (indicator_code=1),"use_of_energy_balance_code=2, energy_sub_commodities_code=5, end_use_sub_sector_code=13, year=2019-20"
15,"Compare total final energy consumption across all commodities 2022-23 vs 2023-24 in PJ Respond in chat, not in an artifact.",Energy Balance (PetaJoules) - Consumption (indicator_code=2),"use_of_energy_balance_code=2, energy_commodities_code=10, end_use_sector_code=10, year=2022-23 and 2023-24"
